Run_number,Latency
1,309
2,97
3,85
4,110
5,113
6,86
7,115
8,62
9,78
10,90
11,148
12,187
13,73
14,118
15,90
16,66
17,66
18,66
19,80
20,82
21,66
22,70
23,66
24,62
25,71
26,76
27,144
28,143
29,90
30,77
31,110
32,102
33,210
34,140
35,149
36,108
37,95
38,121
39,104
40,36
41,40
42,31
43,54
44,32
45,46
46,53
47,49
48,41
49,44
50,51
51,48
52,35
53,26
54,23
55,33
56,26
57,26
58,69
59,73
60,56
61,33
62,39
63,24
64,29
65,28
66,34
67,36
68,31
69,27
70,42
71,33
72,27
73,39
74,42
75,38
76,34
77,37
78,37
79,27
80,27
81,27
82,26
83,27
84,25
85,25
86,27
87,26
88,31
89,25
90,27
91,30
92,30
93,21
94,31
95,32
96,28
97,24
98,29
99,25
100,32
101,44
102,31
103,29
104,37
105,46
106,42
107,45
108,42
109,38
110,38
111,37
112,68
113,80
114,47
115,24
116,43
117,34
118,39
119,34
120,54
121,65
122,51
123,39
124,38
125,28
126,35
127,37
128,48
129,37
130,26
131,35
132,34
133,37
134,56
135,33
136,39
137,37
138,36
139,49
140,50
141,40
142,33
143,26
144,26
145,41
146,26
147,38
148,52
149,53
150,63
151,82
152,74
153,36
154,27
155,75
156,75
157,77
158,57
159,43
160,42
161,29
162,35
163,30
164,52
165,28
166,37
167,41
168,58
169,44
170,30
171,31
172,26
173,32
174,26
175,24
176,26
177,31
178,47
179,31
180,34
181,31
182,33
183,51
184,39
185,24
186,25
187,30
188,25
189,25
190,30
191,25
192,25
193,26
194,26
195,28
196,26
197,28
198,25
199,23
200,30
201,26
202,25
203,26
204,26
205,31
206,24
207,26
208,27
209,27
210,30
211,35
212,30
213,22
214,20
215,22
216,24
217,28
218,31
219,20
220,29
221,25
222,29
223,26
224,31
225,25
226,28
227,24
228,28
229,26
230,29
231,26
232,28
233,33
234,26
235,26
236,26
237,25
238,22
239,24
240,41
241,26
242,27
243,30
244,26
245,29
246,29
247,26
248,21
249,26
250,28
251,28
252,28
253,31
254,26
255,25
256,28
257,21
258,25
259,28
260,24
261,28
262,30
263,32
264,35
265,23
266,28
267,26
268,28
269,22
270,35
271,33
272,32
273,34
274,27
275,32
276,27
277,29
278,25
279,32
280,27
281,28
282,30
283,27
284,31
285,32
286,29
287,28
288,29
289,26
290,25
291,26
292,27
293,26
294,26
295,29
296,27
297,36
298,27
299,30
300,22
301,25
302,26
303,27
304,27
305,33
306,28
307,28
308,29
309,26
310,34
311,27
312,34
313,24
314,38
315,27
316,26
317,38
318,26
319,26
320,35
321,28
322,26
323,27
324,27
325,25
326,26
327,28
328,27
329,29
330,24
331,27
332,26
333,28
334,29
335,28
336,27
337,29
338,24
339,30
340,29
341,24
342,30
343,26
344,21
345,28
346,28
347,27
348,29
349,27
350,27
351,29
352,25
353,26
354,40
355,30
356,27
357,21
358,29
359,26
360,27
361,34
362,33
363,30
364,25
365,28
366,30
367,27
368,24
369,30
370,35
371,32
372,26
373,27
374,29
375,23
376,32
377,28
378,27
379,29
380,30
381,24
382,27
383,24
384,29
385,28
386,29
387,31
388,24
389,27
390,31
391,27
392,28
393,30
394,25
395,29
396,24
397,23
398,27
399,27
400,23
401,31
402,30
403,26
404,27
405,31
406,30
407,27
408,29
409,26
410,39
411,35
412,27
413,29
414,29
415,28
416,27
417,27
418,30
419,26
420,28
421,30
422,29
423,30
424,31
425,28
426,27
427,30
428,27
429,28
430,29
431,27
432,31
433,28
434,25
435,27
436,28
437,26
438,34
439,29
440,24
441,32
442,25
443,28
444,28
445,31
446,28
447,28
448,28
449,24
450,28
451,23
452,24
453,27
454,43
455,57
456,53
457,62
458,31
459,51
460,36
461,27
462,29
463,21
464,30
465,26
466,29
467,41
468,30
469,30
470,26
471,30
472,40
473,34
474,76
475,55
476,50
477,48
478,26
479,39
480,38
481,59
482,65
483,53
484,40
485,60
486,42
487,30
488,43
489,23
490,19
491,22
492,23
493,27
494,28
495,29
496,23
497,27
498,28
499,36
500,27
501,31
502,32
503,27
504,30
505,24
506,23
507,30
508,24
509,21
510,32
511,21
512,30
513,25
514,23
515,23
516,27
517,26
518,26
519,56
520,33
521,41
522,28
523,26
524,37
525,30
526,28
527,33
528,26
529,26
530,33
531,29
532,27
533,23
534,28
535,26
536,25
537,35
538,29
539,30
540,31
541,18
542,21
543,25
544,29
545,29
546,24
547,20
548,31
549,22
550,169
551,28
552,28
553,27
554,25
555,26
556,25
557,27
558,28
559,36
560,31
561,43
562,36
563,36
564,41
565,51
566,26
567,37
568,44
569,43
570,42
571,46
572,45
573,48
574,54
575,50
576,42
577,33
578,45
579,55
580,34
581,56
582,64
583,40
584,75
585,51
586,47
587,20
588,51
589,42
590,39
591,37
592,31
593,49
594,32
595,31
596,55
597,44
598,47
599,45
600,58
601,49
602,32
603,54
604,37
605,59
606,38
607,28
608,34
609,36
610,31
611,29
612,35
613,23
614,34
615,29
616,28
617,35
618,29
619,35
620,38
621,27
622,30
623,39
624,65
625,56
626,73
627,30
628,28
629,27
630,27
631,39
632,22
633,26
634,29
635,28
636,25
637,42
638,22
639,30
640,25
641,25
642,30
643,33
644,37
645,29
646,32
647,26
648,29
649,28
650,27
651,26
652,27
653,28
654,34
655,67
656,38
657,58
658,48
659,44
660,48
661,38
662,36
663,42
664,54
665,84
666,48
667,61
668,30
669,24
670,58
671,37
672,51
673,99
674,35
675,34
676,50
677,40
678,41
679,43
680,64
681,66
682,42
683,26
684,37
685,39
686,55
687,41
688,68
689,34
690,45
691,50
692,39
693,25
694,40
695,36
696,40
697,22
698,34
699,27
700,33
701,46
702,26
703,42
704,57
705,47
706,29
707,42
708,33
709,48
710,44
711,40
712,42
713,134
714,66
715,37
716,58
717,52
718,34
719,62
720,61
721,36
722,40
723,52
724,38
725,40
726,41
727,47
728,34
729,37
730,49
731,57
732,44
733,34
734,31
735,40
736,29
737,38
738,53
739,32
740,53
741,54
742,53
743,49
744,49
745,71
746,67
747,58
748,77
749,61
750,31
751,40
752,27
753,38
754,44
755,42
756,38
757,34
758,38
759,30
760,38
761,39
762,37
763,42
764,50
765,24
766,24
767,43
768,67
769,55
770,52
771,36
772,31
773,34
774,37
775,44
776,70
777,40
778,46
779,55
780,66
781,51
782,67
783,57
784,54
785,41
786,42
787,31
788,40
789,43
790,35
791,41
792,33
793,35
794,34
795,41
796,39
797,51
798,37
799,52
800,43
801,34
802,42
803,45
804,35
805,32
806,28
807,42
808,30
809,29
810,27
811,32
812,34
813,28
814,30
815,27
816,28
817,27
818,31
819,32
820,24
821,33
822,34
823,27
824,27
825,26
826,27
827,27
828,36
829,31
830,19
831,31
832,27
833,30
834,33
835,28
836,27
837,27
838,31
839,25
840,28
841,26
842,27
843,29
844,27
845,28
846,26
847,30
848,27
849,27
850,28
851,27
852,24
853,24
854,28
855,28
856,24
857,30
858,23
859,27
860,27
861,26
862,27
