Run_number,Latency
1,148
2,63
3,59
4,47
5,40
6,38
7,35
8,32
9,36
10,31
11,34
12,44
13,54
14,58
15,47
16,38
17,33
18,39
19,38
20,37
21,36
22,35
23,42
24,45
25,32
26,22
27,21
28,74
29,19
30,19
31,19
32,17
33,13
34,20
35,34
36,13
37,20
38,12
39,11
40,19
41,19
42,41
43,19
44,19
45,19
46,18
47,18
48,20
49,19
50,32
51,20
52,19
53,19
54,19
55,25
56,21
57,22
58,21
59,18
60,16
61,34
62,17
63,18
64,19
65,21
66,20
67,21
68,22
69,26
70,39
71,21
72,23
73,22
74,21
75,19
76,26
77,21
78,22
79,21
80,26
81,21
82,20
83,25
84,23
85,22
86,21
87,19
88,20
89,21
90,19
91,17
92,16
93,17
94,16
95,17
96,16
97,17
98,16
99,19
100,39
101,19
102,20
103,19
104,20
105,19
106,19
107,18
108,19
109,19
110,20
111,19
112,18
113,16
114,50
115,22
116,22
117,24
118,21
119,13
120,25
121,23
122,21
123,22
124,35
125,20
126,20
127,18
128,20
129,19
130,19
131,29
132,21
133,26
134,21
135,21
136,21
137,20
138,21
139,26
140,17
141,17
142,18
143,21
144,18
145,18
146,18
147,21
148,21
149,21
150,14
151,9
152,9
153,11
154,10
155,9
156,9
157,9
158,7
159,10
160,8
161,11
162,9
163,22
164,20
165,47
166,21
167,21
168,19
169,20
170,18
171,18
172,3436
173,35
174,39
175,30
176,30
177,35
178,34
179,24
180,28
181,34
182,28
183,32
184,69
185,35
186,35
187,39
188,33
189,45
190,56
191,26
192,32
193,23
194,28
195,27
196,34
197,28
198,34
199,26
200,48
201,32
202,30
203,24
204,27
205,33
206,24
207,26
208,34
209,26
210,24
211,34
212,25
213,28
214,27
215,63
216,39
217,32
218,43
219,28
220,34
221,25
222,34
223,28
224,34
225,28
226,26
227,33
228,28
229,30
230,29
231,26
232,34
233,26
234,27
235,28
236,32
237,24
238,23
239,32
240,34
241,33
242,38
243,34
244,24
245,29
246,41
247,29
248,25
249,31
250,36
251,27
252,35
253,26
254,33
255,22
256,29
257,40
258,36
259,47
260,28
261,25
262,34
263,33
264,25
265,31
266,27
267,25
268,36
269,26
270,34
271,27
272,28
273,30
274,50
275,34
276,31
277,28
278,26
279,29
280,29
281,28
282,25
283,32
284,22
285,25
286,36
287,27
288,26
289,32
290,27
291,30
292,45
293,35
294,36
295,31
296,30
297,46
298,29
299,29
300,24
301,32
302,32
303,27
304,37
305,41
306,38
307,37
308,38
309,33
310,35
311,33
312,43
313,32
314,23
315,39
316,29
317,32
318,29
319,24
320,29
321,35
322,27
323,33
324,27
325,28
326,35
327,35
328,41
329,36
330,23
331,44
332,25
333,28
334,23
335,24
336,29
337,28
338,25
339,31
340,40
341,73
342,54
343,46
344,34
345,41
346,67
347,34
348,36
349,24
350,29
351,30
352,28
353,26
354,25
355,31
356,38
357,27
358,27
359,34
360,28
361,36
362,33
363,47
364,28
365,27
366,32
367,26
368,34
369,24
370,27
371,36
372,30
373,28
374,29
375,24
376,24
377,43
378,35
379,51
380,28
381,28
382,45
383,31
384,29
385,35
386,27
387,27
388,112
389,24
390,31
391,24
392,27
393,25
394,38
395,33
396,41
397,29
398,27
399,36
400,32
401,25
402,26
403,29
404,35
405,22
406,29
407,22
408,26
409,42
410,38
411,29
412,25
413,25
414,44
415,26
416,22
417,31
418,32
419,25
420,32
421,36
422,37
423,37
424,39
425,26
426,43
427,28
428,39
429,30
430,30
431,35
432,28
433,35
434,29
435,23
436,38
437,26
438,28
439,28
440,33
441,30
442,40
443,36
