Run_Number,Latency
1,4308
2,25
3,20
4,20
5,19
6,18
7,24
8,17
9,17
10,26
11,33
12,21
13,34
14,27
15,30
16,29
17,30
18,16
19,16
20,21
21,18
22,15
23,16
24,17
25,12
26,9
27,8
28,9
29,12
30,10
31,11
32,8
33,12
34,10
35,11
36,8
37,8
38,9
39,10
40,12
41,8
42,18
43,16
44,14
45,10
46,7
47,7
48,6
49,7
50,9
51,9
52,8
53,10
54,9
55,11
56,6
57,7
58,11
59,14
60,9
61,9
62,17
63,6
64,5
65,7
66,7
67,6
68,5
69,5
70,5
71,8
72,5
73,5
74,4
75,5
76,5
77,5
78,5
79,9
80,8
81,7
82,6
83,6
84,8
85,7
86,11
87,5
88,4
89,5
90,4
91,5
92,11
93,9
94,11
95,8
96,6
97,11
98,6
99,4
100,6
101,7
102,5
103,10
104,6
105,6
106,8
107,14
108,6
109,5
110,4
111,7
112,6
113,7
114,6
115,7
116,6
117,6
118,8
119,5
120,5
121,5
122,6
123,8
124,5
125,7
126,6
127,5
128,7
129,6
130,5
131,6
132,6
133,9
134,8
135,6
136,8
137,7
138,7
139,5
140,4
141,5
142,9
143,7
144,10
145,5
146,4
147,4
148,4
149,4
150,5
151,5
152,11
153,8
154,6
155,6
156,6
157,6
158,5
159,5
160,9
161,7
162,6
163,5
164,5
165,5
166,4
167,4
168,4
169,4
170,5
171,7
172,4
173,5
174,5
175,4
176,4
177,4
178,6
179,5
180,7
181,5
182,6
183,5
184,5
185,4
186,5
187,5
188,6
189,4
190,4
191,5
192,6
193,6
194,6
195,11
196,16
197,10
198,5
199,5
200,7
201,8
202,8
203,7
204,5
205,5
206,4
207,12
208,5
209,4
210,6
211,4
212,6
213,7
214,5
215,5
216,5
217,4
218,4
219,4
220,6
221,3
222,3
223,4
224,5
225,4
226,4
227,4
228,4
229,3
230,3
231,5
232,5
233,3
234,6
235,6
236,5
237,5
238,8
239,5
240,6
241,6
242,7
243,7
244,4
245,5
246,5
247,6
248,5
249,5
250,9
251,5
252,6
253,16
254,8
255,8
256,19
257,14
258,7
259,8
260,8
261,7
262,16
263,8
264,7
265,7
266,9
267,9
268,7
269,7
270,6
271,8
272,11
273,8
274,11
275,7
276,6
277,6
278,7
279,6
280,6
281,7
282,7
283,7
284,7
285,6
286,5
287,6
288,8
289,7
290,8
291,7
292,8
293,6
294,7
295,15
296,17
297,7
298,12
299,8
300,8
301,7
302,7
303,6
304,7
305,7
306,7
307,10
308,6
309,6
310,8
311,6
312,8
313,8
314,7
315,7
316,17
317,26
318,8
319,10
320,15
321,13
322,11
323,16
324,10
325,13
