Run_Number,Latency
1,2019
2,195
3,149
4,110
5,181
6,174
7,125
8,152
9,98
10,113
11,107
12,70
13,101
14,62
15,38
16,57
17,42
18,45
19,34
20,52
21,33
22,42
23,28
24,75
25,77
26,88
27,73
28,81
29,106
30,30
31,45
32,38
33,68
34,27
35,39
36,34
37,32
38,32
39,55
40,26
41,38
42,36
43,37
44,34
45,28
46,42
47,47
48,29
49,25
50,47
51,27
52,37
53,46
54,34
55,55
56,75
57,27
58,24
59,42
60,45
61,26
62,26
63,30
64,29
65,41
66,33
67,38
68,74
69,65
70,53
71,74
72,48
73,50
74,44
75,78
76,30
77,24
78,33
79,22
80,26
81,26
82,30
83,30
84,27
85,27
86,27
87,28
88,40
89,25
90,23
91,25
92,22
93,24
94,20
95,22
96,27
97,24
98,26
99,28
100,21
101,27
102,27
103,29
104,27
105,31
106,30
107,23
108,29
109,24
110,37
111,26
112,31
113,32
114,40
115,30
116,17
117,19
118,16
119,22
120,31
121,25
122,30
123,52
124,27
125,22
126,22
127,39
128,42
129,20
130,29
131,32
132,30
133,34
134,26
135,20
136,20
137,19
138,21
139,20
140,21
141,23
142,42
143,22
144,20
145,21
146,22
147,27
148,21
149,21
150,48
151,22
152,24
153,22
154,29
155,32
156,25
157,17
158,32
159,26
160,26
161,20
162,28
163,26
164,40
165,26
166,25
167,16
168,23
169,19
170,31
171,37
172,32
173,24
174,19
175,20
176,21
177,23
178,30
179,19
180,22
181,22
182,24
183,26
184,26
185,17
186,49
187,57
188,41
189,24
190,22
191,26
192,22
193,21
194,29
195,25
196,25
197,21
198,20
199,18
200,29
201,22
202,19
203,22
204,34
205,26
206,24
207,16
208,20
209,28
210,47
211,78
212,23
213,26
214,29
215,22
216,24
217,26
218,43
219,27
220,32
221,35
222,20
223,34
224,38
225,33
226,18
227,19
228,28
229,24
230,22
231,26
232,22
233,25
234,21
235,34
236,29
237,19
238,23
239,16
240,22
241,33
242,40
243,56
244,39
245,65
246,39
247,37
248,51
249,71
250,93
251,59
252,67
253,52
254,35
255,24
256,21
257,21
258,25
259,23
260,22
261,19
262,24
263,33
264,40
265,35
266,25
267,25
268,20
269,28
270,31
271,28
272,24
273,16
274,24
275,24
276,52
277,49
278,61
279,61
280,31
281,24
282,20
283,19
284,22
285,22
286,30
287,29
288,34
289,22
290,23
291,31
292,47
293,71
294,25
295,25
296,29
297,41
298,38
299,22
300,23
301,23
302,27
303,16
304,43
305,40
306,42
307,20
308,25
309,42
310,45
311,24
312,33
313,21
314,29
315,31
316,26
317,23
318,19
319,25
320,33
321,37
322,34
323,20
324,23
325,24
326,42
327,27
328,24
329,21
330,26
331,24
332,22
333,25
334,24
335,31
336,22
